Name,Quantity,Unit,Cocktail
Dry Sherry,3/4,oz,Bridgeport
Cinnamon Syrup,1/4,oz,Bridgeport
Kirschwasser,1,bsp,Bridgeport
Bitters,1,ds,Bridgeport
Bitters,1,ds,Bridgeport
Jamaican Rum,2,oz,Bright 'n' Early
Ginger Syrup,3/4,oz,Bright 'n' Early
Lime Juice,3/4,oz,Bright 'n' Early
Aperol,1/2,oz,Bright 'n' Early
Gin,1,oz,A Brighter Summer Day
Becherovka,1,oz,A Brighter Summer Day
Peach Liqueur,1/2,oz,A Brighter Summer Day
Campari,1/2,oz,A Brighter Summer Day
Lime Juice,1,oz,A Brighter Summer Day
Bitters,2,ds,A Brighter Summer Day
Bourbon,1 1/2,oz,"Bring Me, A Shrubbery"
Cynar,1/2,oz,"Bring Me, A Shrubbery"
Falernum,1/2,oz,"Bring Me, A Shrubbery"
Bourbon,1/2,oz,"Bring Me, A Shrubbery"
Ginger Shrub,1/4,oz,"Bring Me, A Shrubbery"
Grapefruit Peel,1,twst,"Bring Me, A Shrubbery"
Pisco,1 1/2,oz,Brio
Dry Apricot Brandy,1/2,oz,Brio
Floc De Gascogne,3/4,oz,Brio
Orange Bitters,2,ds,Brio
Orange Peel,1,twst,Brio
Grapefruit Peel,1,twst,Brio
Gin,1 3/8,oz,A Brit Abroad
Aquavit,1/2,oz,A Brit Abroad
Apricot Liqueur,1/2,oz,A Brit Abroad
Lemon Juice,1/2,oz,A Brit Abroad
Pickle Brine,2,t,A Brit Abroad
Lemon Peel,1,twst,A Brit Abroad
Old Tom Gin,1 1/2,oz,British Buck
Lime Juice,3/4,oz,British Buck
Simple Syrup,1/2,oz,British Buck
Bitters,3,ds,British Buck
Ginger Beer,2,oz,British Buck
Bitters,2,ds,Brix Layer (variation)
Bourbon,1,oz,Brix Layer (variation)
Orange Juice,1/3,oz,Brix Layer (variation)
Triple Sec,1/2,oz,Brix Layer (variation)
Simple Syrup,1/2,oz,Brix Layer (variation)
Lemon Juice,1/4,oz,Brix Layer (variation)
Lime Juice,1/4,oz,Brix Layer (variation)
Red Wine,1,oz,Brix Layer (variation)
Rye,1 1/2,oz,Broadway Nights
Mezcal,1/2,oz,Broadway Nights
Sweet Vermouth,1/2,oz,Broadway Nights
Herbal Liqueur,1/4,oz,Broadway Nights
Curacao,1/4,oz,Broadway Nights
Bitters,1,ds,Broadway Nights
Orange Peel,1,twst,Broadway Nights
Tequila,1 1/2,oz,Broken Crown
Apple Brandy,1/2,oz,Broken Crown
Creme De Cacao,1/2,oz,Broken Crown
Lime Juice,1/2,oz,Broken Crown
Grenadine,1,bsp,Broken Crown
Celery Bitters,1,ds,Broken Crown
Gin,2,oz,Broken English
Sweet Vermouth,1,oz,Broken English
Strega,1/2,oz,Broken English
Fernet Branca,1/4,oz,Broken English
Benedictine,1,t,Broken English
Orange Bitters,2,ds,Broken English
Peychaud's Bitters,2,ds,Broken English
Grapefruit Peel,1,twst,Broken English
Reposado Tequila,1 1/2,oz,Broken Flower
Cynar,3/4,oz,Broken Flower
Lime Juice,1/2,oz,Broken Flower
Grapefruit Juice,1/2,oz,Broken Flower
Cinnamon Syrup,1/2,oz,Broken Flower
Bitters,2,ds,Broken Flower
Grapefruit Peel,1,twst,Broken Flower
Absinthe,3/4,oz,The Broken Mirror
Lime Juice,3/4,oz,The Broken Mirror
Simple Syrup,3/4,oz,The Broken Mirror
Herbal Liqueur,1,spl,The Broken Mirror
Bitters,1,ds,The Broken Mirror
Mint,1,spg,The Broken Mirror
Pastis,1,oz,Broken Shoe Shiner
Aperol,1,oz,Broken Shoe Shiner
Benedictine,1,oz,Broken Shoe Shiner
Pineapple Juice,1,oz,Broken Shoe Shiner
Lemon Juice,1,oz,Broken Shoe Shiner
Egg White,1,oz,Broken Shoe Shiner
Rose Water,9,dr,Broken Shoe Shiner
Gin,3/4,oz,The Broken Spur
Sweet Vermouth,3/4,oz,The Broken Spur
Port,1 1/2,oz,The Broken Spur
Anisette,1,t,The Broken Spur
Egg Yolk,1,un,The Broken Spur
Ginger,1,pn,The Broken Spur
Peach Liqueur,1,oz,Broken Wishbone
Cardamaro,1,oz,Broken Wishbone
Cranberry Juice,3/4,oz,Broken Wishbone
Cinnamon Syrup,1/4,oz,Broken Wishbone
Gin,1 1/2,oz,Bronx Bomber
Sweet Vermouth,1/4,oz,Bronx Bomber
Dry Vermouth,1/4,oz,Bronx Bomber
Orange Juice,1/2,oz,Bronx Bomber
Lemon Juice,1/4,oz,Bronx Bomber
Simple Syrup,1/4,oz,Bronx Bomber
Orange Peel,1,twst,Bronx Bomber
Gin,2/3,oz,Bronx Cocktail (Boothby)
Sweet Vermouth,2/3,oz,Bronx Cocktail (Boothby)
Dry Vermouth,2/3,oz,Bronx Cocktail (Boothby)
Orange Juice,1,bsp,Bronx Cocktail (Boothby)
Orange Bitters,2,ds,Bronx Cocktail (Boothby)
Orange Peel,1,twst,Bronx Cocktail (Boothby)
Orange Juice,3/4,oz,Bronx Cocktail with Bitters (Income Tax)
Dry Vermouth,3/4,oz,Bronx Cocktail with Bitters (Income Tax)
Sweet Vermouth,3/4,oz,Bronx Cocktail with Bitters (Income Tax)
Gin,1 1/2,oz,Bronx Cocktail with Bitters (Income Tax)
Bitters,2,ds,Bronx Cocktail with Bitters (Income Tax)
Gin,1 1/2,oz,Bronx Key
Lime Juice,1 1/2,oz,Bronx Key
Simple Syrup,1/2,oz,Bronx Key
Aromatized Wine,1/4,oz,Bronx Key
Bitters,8,dr,Bronx Key
Egg White,1,un,Bronx Key
Lime,1,sli,Bronx Key
Rye,2,oz,Brooklyn (Comstock Version)
Palo Cortado Sherry,3/4,oz,Brooklyn (Comstock Version)
Bonal Gentiane Quina,1/4,oz,Brooklyn (Comstock Version)
Maraschino Liqueur,1/4,oz,Brooklyn (Comstock Version)
Orange Bitters,1,ds,Brooklyn (Comstock Version)
Orange Peel,1,twst,Brooklyn (Comstock Version)
French Whiskey,2 1/2,oz,Brooklyn Blossom
Sorel Liqueur,1 1/2,oz,Brooklyn Blossom
Dry Vermouth,1,oz,Brooklyn Blossom
Bitters,1,ds,Brooklyn Blossom
Rye,2,oz,Brooklyn Cocktail
Dry Vermouth,3/4,oz,Brooklyn Cocktail
Maraschino Liqueur,2,t,Brooklyn Cocktail
Amer Picon,2,t,Brooklyn Cocktail
Maraschino Cherry,1,un,Brooklyn Cocktail
Bourbon,2,oz,Brooklyn Eagle
Sweet Vermouth,1,oz,Brooklyn Eagle
Orange Liqueur,1/2,oz,Brooklyn Eagle
Lime Juice,1/2,oz,Brooklyn Eagle
Rye,1 1/2,oz,Brooklyn Heights
Dry Vermouth,1/2,oz,Brooklyn Heights
Amaro Abano,1/4,oz,Brooklyn Heights
Maraschino Liqueur,1/4,oz,Brooklyn Heights
Campari,1,rinse,Brooklyn Heights
Genever,1 1/2,oz,Brooklyn Sour
Lemon Juice,3/4,oz,Brooklyn Sour
Honey Syrup,1/4,oz,Brooklyn Sour
Marmalade,1,bsp,Brooklyn Sour
Ale,3/4,oz,Brooklyn Sour
Jamaican Rum,2,oz,Brooklynite
Lime Juice,1/2,oz,Brooklynite
Honey Syrup,1/2,oz,Brooklynite
Lime,1,wdg,Brooklynite
Light Rum,3/4,oz,Brother Hal
Mezcal,3/4,oz,Brother Hal
Herbal Liqueur,1/2,oz,Brother Hal
Lime Juice,1,oz,Brother Hal
Orange Juice,3/4,oz,Brother Hal
Falernum,1/2,oz,Brother Hal
Lime,1,wdg,Brother Hal
Irish Whiskey,1 1/2,oz,The Brotherhood
Orange Liqueur,3/4,oz,The Brotherhood
Benedictine,3/4,oz,The Brotherhood
Lemon Juice,3/4,oz,The Brotherhood
Lemon Peel,1,twst,The Brotherhood
Demerara Rum,1 1/4,oz,"Brown, Bitter, and Tiki"
Jamaican Rum,3/4,oz,"Brown, Bitter, and Tiki"
Sweet Vermouth,1/2,oz,"Brown, Bitter, and Tiki"
Campari,1/4,oz,"Brown, Bitter, and Tiki"
Jamaican Rum,1/4,oz,"Brown, Bitter, and Tiki"
Bitters,2,ds,"Brown, Bitter, and Tiki"
Herbal Liqueur,1,ds,"Brown, Bitter, and Tiki"
Bourbon,2,oz,Brown Billycock
Honey Syrup,1/2,oz,Brown Billycock
Lemon Juice,1/4,oz,Brown Billycock
Grapefruit Bitters,4,ds,Brown Billycock
Grapefruit Soda,4,oz,Brown Billycock
Lemon,1,sli,Brown Billycock
Tennessee Whiskey,2,oz,Brown Bomber
Aromatized Wine,3/4,oz,Brown Bomber
Suze,1/2,oz,Brown Bomber
Lemon Peel,1,twst,Brown Bomber
Bourbon,1 2/3,oz,Brown Bomber (Julien Escot Variation)
Byrrh,2/3,oz,Brown Bomber (Julien Escot Variation)
Suze,1/2,oz,Brown Bomber (Julien Escot Variation)
Lemon Peel,1,twst,Brown Bomber (Julien Escot Variation)
Mezcal,1,oz,Brown Cat
Gin,3/4,oz,Brown Cat
Sweet Vermouth,3/4,oz,Brown Cat
Amontillado Sherry,3/4,oz,Brown Cat
Grapefruit Peel,2,un,Brown Cat
Simple Syrup,1,t,Brown Cat
Bourbon,2,oz,Brown Derby
Grapefruit Juice,1,oz,Brown Derby
Honey Syrup,1,spl,Brown Derby
Dark Rum,2,oz,Brown Derby (Wondrich)
Lime Juice,1,oz,Brown Derby (Wondrich)
Maple Syrup,1,t,Brown Derby (Wondrich)
Virgin Islands Rum,1/2,oz,brown is the new black
Dark Rum,1/2,oz,brown is the new black
Averna,1/2,oz,brown is the new black
Benedictine,1/2,oz,brown is the new black
Whole Egg,1,un,brown is the new black
Stout,2,oz,brown is the new black
Bitters,5,dr,brown is the new black
Bourbon,1,oz,Brown Mountain Lights
Pear Liqueur,1/2,oz,Brown Mountain Lights
Lemon Juice,1,oz,Brown Mountain Lights
Egg White,1,oz,Brown Mountain Lights
Maple Syrup,3/4,oz,Brown Mountain Lights
Bitters,2,ds,Brown Mountain Lights
Bianco Vermouth,2,oz,Brownsville Girl
Calvados,3/4,oz,Brownsville Girl
Lemon Juice,1/2,oz,Brownsville Girl
Celery Bitters,1,ds,Brownsville Girl
Genever,2,oz,BRRR!
Byrrh,1/2,oz,BRRR!
Elderflower Liqueur,1/2,oz,BRRR!
Lemon Juice,1/2,oz,BRRR!
Maraschino Liqueur,1,bsp,BRRR!
Lemon Peel,1,twst,BRRR!
Speyside Scotch,2,oz,Bruceland Sour
Meyer Lemon Juice,1,oz,Bruceland Sour
Ginger Liqueur,1/2,oz,Bruceland Sour
Egg White,1/2,oz,Bruceland Sour
Tawny Port,1/4,oz,Bruceland Sour
Rich Simple Syrup 2:1,1,bsp,Bruceland Sour
Brandied Cherry,3,un,Bruceland Sour
Blanco Tequila,1 1/2,oz,The Bruja Smash
Strega,1,oz,The Bruja Smash
Lemon Juice,1/2,oz,The Bruja Smash
Raspberry,7,un,The Bruja Smash
Mint,7,lf,The Bruja Smash
Tequila,1 1/2,oz,Brujería
Lime Juice,3/4,oz,Brujería
Strega,1/2,oz,Brujería
Ginger Syrup,1/2,oz,Brujería
Jalapeno,3,sli,Brujería
Cardamaro,2,oz,Brunch
Grapefruit Juice,4,oz,Brunch
Lemon Juice,1 1/2,oz,Brunelle
Absinthe,1/2,oz,Brunelle
Sugar,1 1/2,t,Brunelle
Cognac,1 1/2,oz,Brunswick
Dry Vermouth,3/4,oz,Brunswick
Benedictine,1/4,oz,Brunswick
Amer Picon,1/4,oz,Brunswick
Tomato,2,un,Bruschetta Martini
Vodka,2,oz,Bruschetta Martini
Olive Juice,1/4,oz,Bruschetta Martini
Lemon Juice,1/2,oz,Bruschetta Martini
Garlic,1,sli,Bruschetta Martini
Salt,1,pn,Bruschetta Martini
Black Pepper,1,pn,Bruschetta Martini
Basil,1,lf,Bruschetta Martini
Yuzu Sake,3/4,oz,Bryter Layter
Aromatized Wine,3/4,oz,Bryter Layter
Swedish Punsch,3/4,oz,Bryter Layter
Gin,1/2,oz,Bryter Layter
Lime Juice,1/2,oz,Bryter Layter
Gold Rum,1,oz,Buah Arak
Batavia Arrack,1,oz,Buah Arak
Pomegranate Juice,1,oz,Buah Arak
Lime Juice,1/2,oz,Buah Arak
Orange Liqueur,1/2,oz,Buah Arak
Orgeat,1,bsp,Buah Arak
Bitters,1,ds,Buah Arak
Rye,3/4,oz,Buck & Rider
Aperol,3/4,oz,Buck & Rider
Bigallet China-China,3/4,oz,Buck & Rider
Lemon Juice,3/4,oz,Buck & Rider
Irish Whiskey,2,oz,Buck Mulligan
Lemon Juice,3/4,oz,Buck Mulligan
Ginger-Honey Syrup,1/2,oz,Buck Mulligan
Strega,1/4,oz,Buck Mulligan
Bitters,1,ds,Buck Mulligan
Soda Water,1,oz,Buck Mulligan
Orange Juice,2,oz,Buck's Fizz
Cherry Liqueur,1,ds,Buck's Fizz
Gin,1/4,oz,Buck's Fizz
Champagne,4,oz,Buck's Fizz
Bitters,3/4,oz,Buck Wild
Sorel Liqueur,3/4,oz,Buck Wild
Lime Juice,3/4,oz,Buck Wild
Ginger Beer,3,oz,Buck Wild
Mint,1,spg,Buck Wild
Demerara Rum,1,oz,Budokan
Madeira,1,oz,Budokan
Demerara Syrup,1,bsp,Budokan
Bitters,2,ds,Budokan
Absinthe,1,rinse,Budokan
Bourbon,1 1/2,oz,Bufala Negra
Basil,4,lf,Bufala Negra
Brown Sugar,1,cube,Bufala Negra
Simple Syrup,1/2,oz,Bufala Negra
Ginger Beer,2,oz,Bufala Negra
Bianco Vermouth,2,oz,Bufala Spritz
Bison Grass Vodka,1,oz,Bufala Spritz
Galliano,1/4,oz,Bufala Spritz
Soda Water,2,oz,Bufala Spritz
Dark Rum,2,oz,Buffalo Tail
Lime Juice,1,oz,Buffalo Tail
Orgeat,1/2,oz,Buffalo Tail
Allspice Dram,1/2,oz,Buffalo Tail
Bitters,3,ds,Buffalo Tail
Rye,1 1/2,oz,Buffo Rosato
Pear Eau De Vie,1/2,oz,Buffo Rosato
Chinato,1,oz,Buffo Rosato
Rosato Vermouth,1/2,oz,Buffo Rosato
Cranberry Bitters,1,ds,Buffo Rosato
Lemon Peel,1,twst,Buffo Rosato
Bourbon,1,oz,Buggy Whip
Triple Sec,1/2,oz,Buggy Whip
Apfelkorn,1/2,oz,Buggy Whip
Bitters,1,ds,Buggy Whip
Champagne,4,oz,Buggy Whip
Lemon Peel,1,twst,Buggy Whip
Islay Scotch,2,oz,Bull Kelp
Creme De Violette,3/4,oz,Bull Kelp
Averna,1/4,oz,Bull Kelp
Mezcal,1,oz,Bull Ramos Fizz
Fino Sherry,1,oz,Bull Ramos Fizz
Lemon Juice,3/4,oz,Bull Ramos Fizz
Orgeat,1/2,oz,Bull Ramos Fizz
Vanilla Syrup,1/4,oz,Bull Ramos Fizz
Egg White,1/2,oz,Bull Ramos Fizz
Soda Water,1,oz,Bull Ramos Fizz
Grappa,1 1/2,oz,A Bullet for Fredo
Bianco Vermouth,1 1/2,oz,A Bullet for Fredo
Campari,3/4,oz,A Bullet for Fredo
Grapefruit Peel,1,twst,A Bullet for Fredo
Bourbon,2,oz,Bullet Proof Monk
Herbal Liqueur,1/2,oz,Bullet Proof Monk
Bigallet China-China,1/3,oz,Bullet Proof Monk
Gin,2,oz,Bulwer-Lytton
Ginger Beer,3,oz,Bulwer-Lytton
Lavender Bitters,2,ds,Bulwer-Lytton
Lime,1,wdg,Bulwer-Lytton
Bergamot Orange,1,wdg,Bulwer-Lytton
Gin,2,oz,Bulwer-Lytton Sour
Lemon Juice,3/4,oz,Bulwer-Lytton Sour
Ginger Syrup,3/4,oz,Bulwer-Lytton Sour
Bergamot Syrup,1,t,Bulwer-Lytton Sour
Lavender Bitters,1,ds,Bulwer-Lytton Sour
Egg White,1/2,oz,Bulwer-Lytton Sour
Jamaican Rum,1 1/2,oz,Bumble Bee
Jamaican Rum,1/2,oz,Bumble Bee
Honey Syrup,1,oz,Bumble Bee
Lime Juice,3/4,oz,Bumble Bee
Egg White,1/2,oz,Bumble Bee
Bitters,1,ds,Bumble Bee
Orange Peel,1,twst,Bumble Bee
Dark Rum,2,oz,Bumblebee
Honey,1 1/2,t,Bumblebee
Lime Juice,2,t,Bumblebee
Egg White,2,t,Bumblebee
Bitters,3,dr,Bumblebee
Orange Peel,1,twst,Bumblebee
Venezuelan Rum,2,oz,Bumboo (Death & Co)
Demerara Syrup,1,t,Bumboo (Death & Co)
Vanilla Syrup,1,t,Bumboo (Death & Co)
Peychaud's Bitters,1,ds,Bumboo (Death & Co)
Bitters,1,ds,Bumboo (Death & Co)
Bitters,1,ds,Bumboo (Death & Co)
Nutmeg,1,pn,Bumboo (Death & Co)
Rye,1 1/2,oz,Bunbury
Chinato,3/4,oz,Bunbury
Gran Classico,3/4,oz,Bunbury
Absinthe,1,rinse,Bunbury
Lemon Zest,1,twst,Bunbury
Jamaican Rum,2,oz,Bundt Cake Buddha
Aromatized Wine,3/4,oz,Bundt Cake Buddha
Cynar,3/4,oz,Bundt Cake Buddha
Benedictine,1/4,oz,Bundt Cake Buddha
Orange Liqueur,1/4,oz,Bundt Cake Buddha
Orange,1,sli,Bundt Cake Buddha
Orange Peel,1,twst,Bundt Cake Buddha
Walnut Liqueur,2,oz,Buona Noce
Herbal Liqueur,1/2,oz,Buona Noce
Averna,1/4,oz,Buona Noce
Gin,1,oz,Buono Whistler
Amaro Montenegro,1,oz,Buono Whistler
Dry Vermouth,1,oz,Buono Whistler
Honey Syrup,1/2,oz,Buono Whistler
Lime Juice,1/2,oz,Buono Whistler
Rye,2,oz,Burbank Manhattan
Plum Eau-De-Vie,1 1/4,oz,Burbank Manhattan
Sweet Vermouth,3/4,oz,Burbank Manhattan
Maraschino Liqueur,1/8,oz,Burbank Manhattan
Peychaud's Bitters,7,ds,Burbank Manhattan
Orange Peel,1,twst,Burbank Manhattan
Mezcal,1,oz,Burdick's Cocktail
Dry Vermouth,1,oz,Burdick's Cocktail
Byrrh,1,oz,Burdick's Cocktail
Creme De Cacao,1/4,oz,Burdick's Cocktail
Peychaud's Bitters,1,ds,Burdick's Cocktail
Lemon Peel,1,twst,Burdick's Cocktail
Mezcal,1 3/4,oz,The Burl Johnson
Lemon Juice,3/4,oz,The Burl Johnson
Simple Syrup,3/4,oz,The Burl Johnson
Egg White,1,un,The Burl Johnson
Bitters,2,dr,The Burl Johnson
Cinnamon Stick,1,un,The Burl Johnson
Spanish Brandy,2,oz,El Burladero
Fernet Branca,1/4,oz,El Burladero
Coffee Liqueur,1/4,oz,El Burladero
Cane Syrup,1,bsp,El Burladero
Chocolate Bitters,2,ds,El Burladero
Orange Peel,1,un,El Burladero
Gin,1 1/2,oz,Burma Shave
Lime Juice,3/4,oz,Burma Shave
Bergamot Liqueur,3/4,oz,Burma Shave
Creme De Menthe,1/4,oz,Burma Shave
Orange Bitters,2,ds,Burma Shave
Bitters,2,ds,Burma Shave
Jamaican Rum,1 1/2,oz,'Burn Notice
Lime Juice,3/4,oz,'Burn Notice
Ginger-Honey Syrup,3/4,oz,'Burn Notice
Yuzu Preserves,1,t,'Burn Notice
Bitters,1,ds,'Burn Notice
Rhum Agricole,1,oz,Burning House of Love
Islay Scotch,3/4,oz,Burning House of Love
Ciociaro,1/2,oz,Burning House of Love
Aromatized Wine,1/2,oz,Burning House of Love
Lemon Juice,1/4,oz,Burning House of Love
Simple Syrup,1/4,oz,Burning House of Love
Rose Water,6,dr,Burning House of Love
Islay Scotch,1 1/2,oz,Burning Ice
Pedro Ximenez Sherry,3/4,oz,Burning Ice
Lemon Juice,3/4,oz,Burning Ice
Swedish Punsch,1/2,oz,Burning Ice
Absinthe,1,bsp,Burning Ice
Peychaud's Bitters,2,ds,Burning Ice
Spanish Brandy,1 1/2,oz,Burning Rubber
Bourbon,3/4,oz,Burning Rubber
Cynar 70,1/4,oz,Burning Rubber
Chocolate Bitters,1,ds,Burning Rubber
Orange Bitters,1,ds,Burning Rubber
Lemon Peel,1,twst,Burning Rubber
Gin,2,oz,Burning Times
Strega,3/4,oz,Burning Times
Fernet Branca,1/4,oz,Burning Times
Bitters,2,ds,Burning Times
Lemon Peel,1,twst,Burning Times
Cognac,1,oz,Burnished Brass
Amontillado Sherry,1/2,oz,Burnished Brass
Benedictine,1/2,oz,Burnished Brass
Pineapple Syrup,1/2,oz,Burnished Brass
Lemon Juice,3/4,oz,Burnished Brass
Bitters,1,ds,Burnished Brass
Lemon,1,sli,Burnished Brass
Gin,1 1/2,oz,The Burnside Bramble
Loganberry Liqueur,1/2,oz,The Burnside Bramble
Lemon Juice,1/2,oz,The Burnside Bramble
Simple Syrup,1/2,oz,The Burnside Bramble
India Pale Ale,2,oz,The Burnside Bramble
Cognac,1,oz,Burnt Fuselage
Dry Vermouth,1,oz,Burnt Fuselage
Orange Liqueur,1,oz,Burnt Fuselage
Lemon Peel,1,twst,Burnt Fuselage
Jamaican Rum,1,oz,A Burnt Offering to Tangaroa
Amaro Abano,1,oz,A Burnt Offering to Tangaroa
Demerara Rum,1/2,oz,A Burnt Offering to Tangaroa
Donn's Spices #2,1/2,oz,A Burnt Offering to Tangaroa
Simple Syrup,1/4,oz,A Burnt Offering to Tangaroa
Bitters,1/4,oz,A Burnt Offering to Tangaroa
Bitters,3,ds,A Burnt Offering to Tangaroa
Amer Picon,1,oz,The Burnt-Over District
Grapefruit Juice,1,oz,The Burnt-Over District
Apple Brandy,3/4,oz,The Burnt-Over District
Overproof Rum,1/2,oz,The Burnt-Over District
Cinnamon Syrup,1/4,oz,The Burnt-Over District
Bitters,3,ds,The Burnt-Over District
Grapefruit Peel,1,twst,The Burnt-Over District
Light Rum,1 1/2,oz,The Burnt Umbrella
Lime Juice,1/2,oz,The Burnt Umbrella
Ginger Liqueur,1/2,oz,The Burnt Umbrella
Simple Syrup,1/2,oz,The Burnt Umbrella
Cherry Bitters,4,ds,The Burnt Umbrella
Reposado Tequila,1 1/2,oz,El Burro
Absinthe,1/4,oz,El Burro
Lime Juice,3/4,oz,El Burro
Pineapple Juice,3/4,oz,El Burro
Simple Syrup,1/2,oz,El Burro
Ginger Beer,1,oz,El Burro
Reposado Tequila,2 1/2,oz,Burroughs
Triple Sec,1/2,oz,Burroughs
Lime Juice,1/2,oz,Burroughs
Bitters,1/2,un,Burroughs
Sherry,1 1/2,oz,Burrrrooo!
Mezcal,3/4,oz,Burrrrooo!
Lemon Juice,3/4,oz,Burrrrooo!
Demerara Syrup,1/2,oz,Burrrrooo!
Orange Peel,1,twst,Burrrrooo!
Bourbon,1,oz,A Burst of Fall
Apple Brandy,3/4,oz,A Burst of Fall
Sorel,1/2,oz,A Burst of Fall
Lemon Juice,1/2,oz,A Burst of Fall
Simple Syrup,1/4,oz,A Burst of Fall
Orange Liqueur,1/4,oz,A Burst of Fall
Sparkling Water,1,spl,A Burst of Fall
Orange,1,sli,A Burst of Fall
Rye,2,oz,Bushwick
Sweet Vermouth,3/4,oz,Bushwick
Amer Picon,1/4,oz,Bushwick
Maraschino Liqueur,1/4,oz,Bushwick
Gin,2,oz,The Business
Honey Syrup,3/4,oz,The Business
Lime Juice,1,oz,The Business
Bourbon,1 1/2,oz,Buster Brown
Lemon Juice,1/2,oz,Buster Brown
Simple Syrup,1/2,oz,Buster Brown
Orange Bitters,2,ds,Buster Brown
Rum,2,oz,But We Don't Want The Irish
Herbal Liqueur,1,oz,But We Don't Want The Irish
Lime Juice,1/2,oz,But We Don't Want The Irish
Simple Syrup,1/4,oz,But We Don't Want The Irish
Soda Water,2,oz,But We Don't Want The Irish
Irish Whiskey,3/4,oz,But You Don't Have To Take My Word For It
Herbal Liqueur,3/4,oz,But You Don't Have To Take My Word For It
Maraschino Liqueur,3/4,oz,But You Don't Have To Take My Word For It
Lemon Juice,3/4,oz,But You Don't Have To Take My Word For It
Cherry,1,un,But You Don't Have To Take My Word For It
Scotch,1 1/2,oz,Butcher Cocktail
Gin,3/4,oz,Butcher Cocktail
Sweet Vermouth,3/4,oz,Butcher Cocktail
Rye,2,oz,Butchertown Cocktail
Amontillado Sherry,3/4,oz,Butchertown Cocktail
Orange Liqueur,1/4,oz,Butchertown Cocktail
Orange Bitters,2,ds,Butchertown Cocktail
Orange Peel,1,twst,Butchertown Cocktail
Scotch,1 1/2,oz,"Butter, Lemon, Smoke"
Brandy,1,oz,"Butter, Lemon, Smoke"
Herbal Liqueur,3/4,oz,"Butter, Lemon, Smoke"
Benedictine,3/4,oz,"Butter, Lemon, Smoke"
Lemon Peel,1,twst,"Butter, Lemon, Smoke"
Gin,1 1/2,oz,Bye Bye Bellingham
Nocino,1/2,oz,Bye Bye Bellingham
Ramazzotti,1/2,oz,Bye Bye Bellingham
Orange Bitters,2,ds,Bye Bye Bellingham
Pear Vodka,3/4,oz,Bye Bye Birdie
Benedictine,3/4,oz,Bye Bye Birdie
Maraschino Liqueur,3/4,oz,Bye Bye Birdie
Lime Juice,3/4,oz,Bye Bye Birdie
Byrrh,1 1/2,oz,Byrrh Cocktail
Cognac,1,oz,Byrrh Cocktail
Kirschwasser,1/4,oz,Byrrh Cocktail
Bourbon,1 1/2,oz,Byrrhlesque
Byrrh,3/4,oz,Byrrhlesque
Sweet Vermouth,3/4,oz,Byrrhlesque
Maraschino Liqueur,1,bsp,Byrrhlesque
Orange Bitters,2,ds,Byrrhlesque
Anejo Rum,1 3/4,oz,Bywater
Herbal Liqueur,3/4,oz,Bywater
Averna,1/2,oz,Bywater
Falernum,1/4,oz,Bywater
Cynar,3/4,oz,C. I. A.
Sweet Vermouth,3/4,oz,C. I. A.
Apple Brandy,1 1/2,oz,C. I. A.
Water,1/4,oz,C. I. A.
Apple Bitters,2,ds,C. I. A.
Orange Peel,1,twst,C. I. A.
Cognac,1 1/2,oz,C'est La Vie
Bigallet China-China,3/4,oz,C'est La Vie
Rye,1/2,oz,C'est La Vie
Sherry,1/4,oz,C'est La Vie
Bitters,2,ds,C'est La Vie
Amontillado Sherry,1 1/2,oz,Cabana Club
Overproof Rum,1/2,oz,Cabana Club
Coconut Water,1,oz,Cabana Club
Coconut Milk,1,oz,Cabana Club
Coconut Cream,1,oz,Cabana Club
Absinthe,1/2,oz,Cabana Club
Cinnamon Syrup,1/2,oz,Cabana Club
Gin,1,oz,Cabaret
Dry Vermouth,3/4,oz,Cabaret
Benedictine,1/4,oz,Cabaret
Bitters,2,ds,Cabaret
Apple Brandy,1,oz,Cabb
Cynar,1,oz,Cabb
Bianco Vermouth,1/2,oz,Cabb
Branca Menta,1/4,oz,Cabb
Spiced Rum,2,oz,Cable Car
Triple Sec,1,oz,Cable Car
Lemon Juice,1/2,oz,Cable Car
Rich Simple Syrup 2:1,1/4,oz,Cable Car
Egg White,1/2,un,Cable Car
Cinnamon,1,pn,Cable Car
Sugar,1,pn,Cable Car
Demerara Rum,1,oz,The Cableknit
Calvados,1,oz,The Cableknit
Jamaican Rum,1/2,oz,The Cableknit
Coffee Liqueur,1/2,oz,The Cableknit
Licor 43,1/2,oz,The Cableknit
Grapefruit Juice,1,oz,The Cableknit
Crushed Ice,4,oz,The Cableknit
Tequila,2,oz,Cactus & Thistle
Cynar,1/2,oz,Cactus & Thistle
Bianco Vermouth,1/2,oz,Cactus & Thistle
Aromatized Wine,1/2,oz,Cactus & Thistle
Bitters,1,ds,Cactus & Thistle
Bitters,1,ds,Cactus & Thistle
Lemon,1,wdg,Cactus & Thistle
Tequila,1 1/2,oz,Cactus Campfire
Mezcal,1/2,oz,Cactus Campfire
Vanilla Syrup,1/2,oz,Cactus Campfire
Chocolate Bitters,8,ds,Cactus Campfire
Tequila,2,oz,Cactus Flower
Amargo De Chile,1/2,oz,Cactus Flower
Sweet Vermouth,1/2,oz,Cactus Flower
Curacao,1/2,oz,Cactus Flower
Lime Juice,1/2,oz,Cactus Flower
Prickly Pear Liqueur,2,oz,CactusHeadClive
